KEYWORD,WORD,MEANING,      
Adam,Jesus,"Romans 5:14 Nevertheless, death reigned from Adam until Moses, even over those who did not sin in the way that Adam transgressed. He [Adam] is a pattern of the One to come [Jesus].",
Adam,dust / dirt,,
anger,smoke,"Isaiah 30:27 Behold, the Name of the LORD comes from afar, with burning anger and in dense smoke.",
arm,might/strength,Luke 1:51 He has performed mighty deeds with His arm;,
arrow,lie,"Jeremiah 9:3 They make ready their tongue like a bow, to shoot lies [arrows]; it is not by truth that they triumph in the land.",
baker,bread/dough [maker] (banker),,
body,members,"1 Chronicals 12:25 So that there should be no division in the body, but that its members should have equal concern for each other.",
book/scroll,records/information,1 Chronicals 9:1 Genealogical records were kept for all Israel; they are recorded in the Book of the Kings of Israel.,
bosom,comfort/abundance,Isaiah 66:11 So that you may nurse and be satisfied at her comforting bosom; you may drink deeply and delight yourselves in her glorious abundance.,
bow,tongue/speach,"Jeremiah 9:3 They make ready their tongue like a bow, to shoot lies [see arrows]; it is not by truth that they triumph in the land.",
bread,flesh/form/body,"1 Corrinthians 11:24 ""And this bread, which I will give for the life of the world, is My flesh.” and when He had given thanks, He broke it and said, “This is My body, which is for you; do this in remembrance of Me.""",
bull/oxen (tame),ruler/leader,,
bull/oxen (wild),ruler/leader (Edomite),"Isaiah 34:7 Edom's leaders are wild oxen. They are powerful bulls, but they will die with the others.",
butler,security/defence (officer/dept),,
Cain,meanderer/strayer/deciever/wanderer,"Genesis 4:16 So Cain meandered away from the presence of the LORD and settled in the land of Nod (Wandering), east of Eden.",
calf,idol/image,"Acts 7:41 And they made a calf in those days, and offered a sacrifice to the idol and were rejoicing in the works of their hands",
cane (canon)/(Aaron's) rod/staff,protection/security,,
cave,tomb/grave,"John 11:38 So Jesus, again being deeply moved within, came to the tomb. Now it [the tomb] was a cave, and a stone was lying against it.",
cloak/coat/tunic,justice/liberty,"Deuteronomy 24:17 Do not deny justice to the foreigner or the fatherless, and do not take a widow’s cloak as security.",
dog,(False) Jew,,
dove,(Yahweh's) spirit,"John 1:32 Then John testified, ""I saw the Spirit descending from heaven like a dove and resting on Him.""",
dream,vision,"Job 33:15 In a dream, in a vision in the night, when deep sleep falls upon men as they slumber on their beds,",
dust/soil/Earth/ground/sand/dirt,Human/Adam,"Genesis 13:16 I will make your offspring [Humans/Adam seed] like the dust of the earth, so that if one could count the dust of the earth, then your offspring could be counted.",
drunk,confused/confounded/bewildred/lost,,
ear,listen (ing) /(pay) attention,"Jeremiah 17:23 Yet they would not listen or incline their ear, but they stiffened their necks and would not listen or receive My discipline.",
east,(rising/beginning) time/period/days,,
Eve,(Yahweh's) church,"Ephesians 5:23 For the husband [Adam] is the head of the wife [Eve] as Christ [see Adam] is the head of the church [Eve], His body [see members], of which He is the Savior.",
eyes,sight,Isaiah 5:21 Woe to those who are wise in their own eyes and clever in their own sight.,
father,time/period,Genesis 50:10 Joseph observed a seven-day period of mourning for his father.,
feet,path/stand/feat/pursue,Psalm 119:105 Your word is a lamp to my feet and a light to my path.,
field,world,"Mathew 13:38 The field is the world, and the good seed represents the sons of the kingdom.",
fire,judgment,"2 Peter 3:7 And by that same word, the present heavens and earth are reserved for fire, being kept for the day of judgment and destruction of ungodly men.",
forehead,reminder/remember/belief,Exodus 13:9 This observation will be a sign for you on your hand [see deed] and a reminder on your forehead that the Law of the LORD is to be on your lips...,
grass,(commoners) people,"Isaiah 40:7 The grass withers and the flowers fall when the breath of the LORD blows on them; indeed, the people are grass.",
grasshopper,Hebrew,"Numbers 13:33 ""We [Hebrews] even saw the Nephilim there— the descendants of Anak that come from the giants! We seemed like grasshoppers in our own sight, and we must have seemed the same to them!”",
hands,deeds/work,"Jeremiah 25:14 For many nations and great kings will enslave them, and I will repay them according to their deeds and according to the work of their hands.",
harvest,(end of) Age/time/days,"Mathew 13:39 The harvest is the end of the age, and the harvesters are angels.…",
harvesters,angels,"Mathew 13:39 The harvest is the end of the age, and the harvesters are angels.…",
hear,learn/receive/discover,Mathew 13:14 In them the prophecy of Isaiah is fulfilled: ‘You will be ever hearing but never learning...',
hill,kingdom,,
horn,ruler/leader,,
Human (Adam's seed),sheep,"Isaiah 53:6 ""We [Adam's children/Humans] all like sheep have gone astray, each one has turned to his own way; and the LORD has laid upon Him [Jesus] the iniquity of us all.""",
lamb,sacrifice,,
lamp/light,truth,,
locust,Nephilim/Egyptian/Canaanite/giant,Exodus 10:19 And the LORD changed the wind to a very strong west wind that carried off the locusts and blew them into the Red Sea. Not a single locust remained anywhere in Egypt. Exodus 15:4 Pharaoh’s chariots and army [Egyptians] He has cast into the sea; the finest of his officers are drowned in the Red Sea.,
men/man,nation (s),"Psalm 9:20 Lay terror upon them, O LORD; let the nations know they are but men. Selah",
milk,(basic) principle/law/rule,"Hebrews 5:12 Although by this time you ought to be teachers, you need someone to reteach you the basic principles of God’s word. You need milk, not solid food!",
money,god/master,"Mathew 6:24 No one can serve two masters: Either he will hate the one and love the other, or he will be devoted to the one and despise the other. You cannot serve both Yahweh and money.",
mouth,taste,Psalm 119:103 How sweet are Your words to my taste--sweeter than honey in my mouth!,
neck (stiffed),ignore/disregard/dismiss/shun,"Jeremiah 7:26 ""They didn't listen to me, but ignored me. They stiffened their necks, and they did more evil than their ancestors.""",
people (Yahweh's),ore,"Jeremiah 6:27 “I have appointed you to examine My people like ore, so you may know and try their ways.""",
pig /swine,corrupt (Christian),,
pit,darkness,,
protection/security,rod/staff,"Michah 7:14 O LORD, protect your people with your shepherd’s staff; lead your flock, your special possession...",
rain/showers/dew,words (from above),"Job 29:22-23 After my words, they spoke no more; my speech settled on them like dew. They waited for me as for rain and drank in my words like spring showers.",
rich (person),flower,"James 1:10 But the one who is rich should exult in his low position, because he will pass away like a flower of the field.",
rocky (place)/roadside,,,
salt,flavor/season,"Collosians 4:6 Let your speech be always full of goodwill, flavored with salt, so that you may know how to answer everyone.",
sea (s),(Christian) Age/time/days,,
see,perceive/realize/comprehend,"Mathew 13:14 "". . . you will be ever seeing but never perceiving.""",
seed,offspring,,
sheep,followers,"John 10:27 ""My sheep listen to My voice; I know them [followers], and they follow Me.""",
sink,(lose) faith,,
skin/hide,cover,,
slave,Hebrew,"Ezra 9:9 ""Though we [Hebrews] are slaves, our God has not forsaken us in our bondage, but He has extended to us grace ...""",
sower (of evil),Satan/devil,Mathew 13:39 . . . and the enemy [sower] who sows them [see weeds] is the devil [Satan].,
sower (of good),Christ/Jesus,Mathew 13:37 The One who sows [a sower of] the good seed is the Son of Man [Christ].,
steps/feet,ways/direction,Psalm 119:59 I considered my ways and turned my steps to Your testimonies.,
stone,law/Torah,"Genesis 31:18 When the LORD had finished speaking with Moses on Mount Sinai, He gave him the two tablets of the Testimony [the Law or Torah], tablets of stone inscribed by the finger of God.",
taste,test/sample,Psalm 34:8 Taste and see [test] that the LORD is good; blessed is the man who takes refuge in Him!,
thigh,promise,"Genesis 47:29 When the time drew near for Israel to die, he called his son Joseph and said to him, “If I have found favor in your eyes, put your hand under my thigh and promise to show me kindness and faithfulness.",
trump (et),sound/alarm/call/alert,"Ezekiel 23:5 Since he heard the sound of the trump but failed to heed the warning, his blood will be on his own head.",
,,,
undergarment/(loin) cloth,theft/rebel,,
water,words,Proverbs 18:4 The words of a man’s mouth are deep waters; the fountain of wisdom is a bubbling brook.,
weed (bad seed),(evil) descendant/sons,Mathew 13:38 . . . and the weeds are the sons [descendants] of the evil one.,
west,(setting/ending) time/period/days,,
white,purity/pure,,
wind,(false) doctrine,,
winter,,,
wisdom,brook/creek/stream/fountain,Proverbs 18:4 . . . the fountain of wisdom is a bubbling brook.,
words,honey,Psalm 119:103 How sweet are Your words to my taste--sweeter than honey in my mouth!,
,,"Isaiah 66:3 But those who choose their own ways— delighting in their detestable sins— will not have their offerings accepted. When such people sacrifice a bull, it is no more acceptable than a human sacrifice. When they sacrifice a lamb, it’s as though they had sacrificed a dog! When they bring an offering of grain, they might as well offer the blood of a pig. When they burn frankincense, it’s as if they had blessed an idol.",
leaven/yeast,boasting,1 Corinthians 5:6 Your boasting is not good. Do you not know that a little leaven works through the whole batch of dough?,
trade,raid,,
(sons of) Belial,thorns,,
fruit,result,fruit is the result,
,,"Psalm 78:46. He gave their crops to the devouring locust, the fruit of their labor to the locust.",
,,,
,,"Isaiah 51:12
I, even I, am he that comforteth you: who art thou, that thou shouldest be afraid of a man that shall die, and of the son of man which shall be made as grass;
briers, or, rebels
2 Samuel 23:6,7
But the sons of Belial shall be all of them as thorns thrust away, because they cannot be taken with hands: …
Isaiah 9:18
For wickedness burneth as the fire: it shall devour the briers and thorns, and shall kindle in the thickets of the forest, and they shall mount up like the lifting up of smoke.
Jeremiah 6:28
They are all grievous revolters, walking with slanders: they are brass and iron; they are all corrupters",